,Date :,9/28/2022 12:40,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220905-1,VF092822_090927,Day2_Trial1,Chamber1,,,Day2_Acclimation,13,9.6,2.13,5.33,230.71,0,1292
220905-1,VF092822_090927,Day2_Trial1,Chamber1,,,Day2_CSTone,59,107.7,23.93,29.92,86.93,0,1109
220905-1,VF092822_090927,Day2_Trial1,Chamber1,,,Day2_Exploration,6,13.833,3.07,3.07,169.9,0,1109
,,,,,,,,,,,,,
220905-2,VF092822_090927,Day2_Trial1,Chamber2,,,Day2_Acclimation,25,13.067,2.9,7.26,226.7,0,1387
220905-2,VF092822_090927,Day2_Trial1,Chamber2,,,Day2_CSTone,35,93.2,20.71,25.89,121.41,0,1760
220905-2,VF092822_090927,Day2_Trial1,Chamber2,,,Day2_Exploration,7,11.1,2.47,2.47,134.77,0,964
,,,,,,,,,,,,,
220905-3,VF092822_100056,Day2_Trial2,Chamber1,,,Day2_Acclimation,39,27.967,6.21,15.54,172.35,0,1537
220905-3,VF092822_100056,Day2_Trial2,Chamber1,,,Day2_CSTone,96,112.633,25.03,31.29,82.93,0,1516
220905-3,VF092822_100056,Day2_Trial2,Chamber1,,,Day2_Exploration,27,26.6,5.91,5.91,128.02,0,1516
,,,,,,,,,,,,,
220905-4,VF092822_100056,Day2_Trial2,Chamber2,,,Day2_Acclimation,59,51.967,11.55,28.87,59.32,0,588
220905-4,VF092822_100056,Day2_Trial2,Chamber2,,,Day2_CSTone,70,78,17.33,21.67,144.9,0,1378
220905-4,VF092822_100056,Day2_Trial2,Chamber2,,,Day2_Exploration,11,10.1,2.24,2.24,243.78,0,1255
,,,,,,,,,,,,,
220905-5,VF092822_101226,Day2_Trial3,Chamber1,,,Day2_Acclimation,21,18.7,4.16,10.39,260.98,0,1736
220905-5,VF092822_101226,Day2_Trial3,Chamber1,,,Day2_CSTone,75,71.3,15.84,19.81,119.43,0,1074
220905-5,VF092822_101226,Day2_Trial3,Chamber1,,,Day2_Exploration,9,6.5,1.44,1.44,197.79,0,1074
,,,,,,,,,,,,,
220905-6,VF092822_101226,Day2_Trial3,Chamber2,,,Day2_Acclimation,7,5.367,1.19,2.98,378.88,0,2316
220905-6,VF092822_101226,Day2_Trial3,Chamber2,,,Day2_CSTone,59,62.233,13.83,17.29,179.69,0,1862
220905-6,VF092822_101226,Day2_Trial3,Chamber2,,,Day2_Exploration,12,14.067,3.13,3.13,273.3,0,1862
,,,,,,,,,,,,,
220905-7,VF092822_102403,Day2_Trial4,Chamber1,,,Day2_Acclimation,6,3.267,0.73,1.81,336.92,0,1673
220905-7,VF092822_102403,Day2_Trial4,Chamber1,,,Day2_CSTone,86,69.633,15.47,19.34,165.99,0,1842
220905-7,VF092822_102403,Day2_Trial4,Chamber1,,,Day2_Exploration,5,3.233,0.72,0.72,331.72,0,1842
,,,,,,,,,,,,,
220905-8,VF092822_102403,Day2_Trial4,Chamber2,,,Day2_Acclimation,65,42.133,9.36,23.41,81.78,0,688
220905-8,VF092822_102403,Day2_Trial4,Chamber2,,,Day2_CSTone,81,79.033,17.56,21.95,108.22,0,1409
220905-8,VF092822_102403,Day2_Trial4,Chamber2,,,Day2_Exploration,13,8.967,1.99,1.99,161.79,0,1409
,,,,,,,,,,,,,
220905-9,VF092822_103528,Day2_Trial5,Chamber1,,,Day2_Acclimation,33,36,8,20,205.92,0,1826
220905-9,VF092822_103528,Day2_Trial5,Chamber1,,,Day2_CSTone,66,103.533,23.01,28.76,139,0,1703
220905-9,VF092822_103528,Day2_Trial5,Chamber1,,,Day2_Exploration,12,15.9,3.53,3.53,189.62,0,1703
,,,,,,,,,,,,,
220905-10,VF092822_103528,Day2_Trial5,Chamber2,,,Day2_Acclimation,89,58.767,13.06,32.65,44.99,0,760
220905-10,VF092822_103528,Day2_Trial5,Chamber2,,,Day2_CSTone,122,101.8,22.62,28.28,76.86,0,1653
220905-10,VF092822_103528,Day2_Trial5,Chamber2,,,Day2_Exploration,20,13,2.89,2.89,169.97,0,1653
,,,,,,,,,,,,,
220905-11,VF092822_104708,Day2_Trial6,Chamber1,,,Day2_Acclimation,60,105.5,23.44,58.61,63.9,0,1254
220905-11,VF092822_104708,Day2_Trial6,Chamber1,,,Day2_CSTone,75,91,20.22,25.28,125.1,0,1399
220905-11,VF092822_104708,Day2_Trial6,Chamber1,,,Day2_Exploration,33,28.833,6.41,6.41,64.71,0,955
,,,,,,,,,,,,,
220905-12,VF092822_104708,Day2_Trial6,Chamber2,,,Day2_Acclimation,58,62.767,13.95,34.87,76.77,0,863
220905-12,VF092822_104708,Day2_Trial6,Chamber2,,,Day2_CSTone,51,177.933,39.54,49.43,44.23,0,1152
