,Date :,3/8/2023 11:43,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
230213-1,VF030823_095201,Day2_Trial1,Chamber1,,,Day2_Acclimation,36,35.267,7.84,19.59,116.6,0,1305
230213-1,VF030823_095201,Day2_Trial1,Chamber1,,,Day2_CSTone,62,123.9,27.53,34.42,67.53,0,1327
230213-1,VF030823_095201,Day2_Trial1,Chamber1,,,Day2_Exploration,17,31.433,6.99,6.99,108.11,0,1327
,,,,,,,,,,,,,
230213-2,VF030823_095201,Day2_Trial1,Chamber2,,,Day2_Acclimation,10,8,1.78,4.44,260.37,0,1885
230213-2,VF030823_095201,Day2_Trial1,Chamber2,,,Day2_CSTone,74,82.4,18.31,22.89,139.64,0,1931
230213-2,VF030823_095201,Day2_Trial1,Chamber2,,,Day2_Exploration,16,14.967,3.33,3.33,196.7,0,1931
,,,,,,,,,,,,,
230213-3,VF030823_100349,Day2_Trial2,Chamber1,,,Day2_Acclimation,6,5.833,1.3,3.24,305.41,0,2338
230213-3,VF030823_100349,Day2_Trial2,Chamber1,,,Day2_CSTone,43,93.8,20.84,26.06,132.61,0,1739
230213-3,VF030823_100349,Day2_Trial2,Chamber1,,,Day2_Exploration,4,4.833,1.07,1.07,293.06,0,1739
,,,,,,,,,,,,,
230213-4,VF030823_100349,Day2_Trial2,Chamber2,,,Day2_Acclimation,5,2.5,0.56,1.39,326.22,0,2210
230213-4,VF030823_100349,Day2_Trial2,Chamber2,,,Day2_CSTone,72,117.2,26.04,32.56,127.67,0,2460
230213-4,VF030823_100349,Day2_Trial2,Chamber2,,,Day2_Exploration,3,2.4,0.53,0.53,273.91,0,2127
,,,,,,,,,,,,,
230213-5,VF030823_101441,Day2_Trial3,Chamber1,,,Day2_Acclimation,31,34.933,7.76,19.41,203.89,0,1888
230213-5,VF030823_101441,Day2_Trial3,Chamber1,,,Day2_CSTone,72,126.567,28.13,35.16,74.65,0,1644
230213-5,VF030823_101441,Day2_Trial3,Chamber1,,,Day2_Exploration,5,7.333,1.63,1.63,132.94,0,1644
,,,,,,,,,,,,,
230213-6,VF030823_101441,Day2_Trial3,Chamber2,,,Day2_Acclimation,13,10.233,2.27,5.69,220.61,0,1452
230213-6,VF030823_101441,Day2_Trial3,Chamber2,,,Day2_CSTone,45,44.967,9.99,12.49,212.48,0,2308
230213-6,VF030823_101441,Day2_Trial3,Chamber2,,,Day2_Exploration,6,4.7,1.04,1.04,293.81,0,2226
,,,,,,,,,,,,,
230213-7,VF030823_102510,Day2_Trial4,Chamber1,,,Day2_Acclimation,15,11.233,2.5,6.24,274.53,0,1836
230213-7,VF030823_102510,Day2_Trial4,Chamber1,,,Day2_CSTone,62,53.267,11.84,14.8,148.62,0,4431
230213-7,VF030823_102510,Day2_Trial4,Chamber1,,,Day2_Exploration,15,14.233,3.16,3.16,145.82,0,3282
,,,,,,,,,,,,,
230213-8,VF030823_102510,Day2_Trial4,Chamber2,,,Day2_Acclimation,34,33.633,7.47,18.69,151.04,0,1594
230213-8,VF030823_102510,Day2_Trial4,Chamber2,,,Day2_CSTone,57,56.9,12.64,15.81,155.47,0,1853
230213-8,VF030823_102510,Day2_Trial4,Chamber2,,,Day2_Exploration,16,12.3,2.73,2.73,181.31,0,1721
,,,,,,,,,,,,,
230213-9,VF030823_103526,Day2_Trial5,Chamber1,,,Day2_Acclimation,7,4.7,1.04,2.61,314.17,0,1608
230213-9,VF030823_103526,Day2_Trial5,Chamber1,,,Day2_CSTone,70,51.7,11.49,14.36,181.34,0,2343
230213-9,VF030823_103526,Day2_Trial5,Chamber1,,,Day2_Exploration,5,3,0.67,0.67,295.14,0,2343
,,,,,,,,,,,,,
230213-10,VF030823_103526,Day2_Trial5,Chamber2,,,Day2_Acclimation,6,5.433,1.21,3.02,208.03,0,1755
230213-10,VF030823_103526,Day2_Trial5,Chamber2,,,Day2_CSTone,85,130.1,28.91,36.14,47.78,0,1518
230213-10,VF030823_103526,Day2_Trial5,Chamber2,,,Day2_Exploration,15,31.3,6.96,6.96,62.47,0,675
,,,,,,,,,,,,,
230213-11,VF030823_104544,Day2_Trial6,Chamber1,,,Day2_Acclimation,85,62.933,13.99,34.96,116.49,0,1752
230213-11,VF030823_104544,Day2_Trial6,Chamber1,,,Day2_CSTone,111,147.267,32.73,40.91,63.29,0,1662
230213-11,VF030823_104544,Day2_Trial6,Chamber1,,,Day2_Exploration,17,25.967,5.77,5.77,141.11,0,1645
,,,,,,,,,,,,,
230213-12,VF030823_104544,Day2_Trial6,Chamber2,,,Day2_Acclimation,58,57,12.67,31.67,148.84,0,2146
230213-12,VF030823_104544,Day2_Trial6,Chamber2,,,Day2_CSTone,78,88.6,19.69,24.61,127.28,0,1613
