,Date :,11/23/2022 13:29,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
221101-1,VF112322_111057,Day2_Trial1,Chamber1,,,Day2_Acclimation,15,12.867,2.86,7.15,231.74,0,1557
221101-1,VF112322_111057,Day2_Trial1,Chamber1,,,Day2_CSTone,58,71.067,15.79,19.74,127.05,0,1372
221101-1,VF112322_111057,Day2_Trial1,Chamber1,,,Day2_Exploration,13,13.767,3.06,3.06,198.46,0,1372
,,,,,,,,,,,,,
221101-2,VF112322_111057,Day2_Trial1,Chamber2,,,Day2_Acclimation,20,14.533,3.23,8.07,169.09,0,1362
221101-2,VF112322_111057,Day2_Trial1,Chamber2,,,Day2_CSTone,61,73.5,16.33,20.42,111.62,0,1362
221101-2,VF112322_111057,Day2_Trial1,Chamber2,,,Day2_Exploration,15,10.7,2.38,2.38,146.02,0,1362
,,,,,,,,,,,,,
221101-3,VF112322_112407,Day2_Trial2,Chamber1,,,Day2_Acclimation,35,36.4,8.09,20.22,139.72,0,1168
221101-3,VF112322_112407,Day2_Trial2,Chamber1,,,Day2_CSTone,69,82.533,18.34,22.93,94.89,0,1012
221101-3,VF112322_112407,Day2_Trial2,Chamber1,,,Day2_Exploration,27,33.733,7.5,7.5,62.12,0,1012
,,,,,,,,,,,,,
221101-4,VF112322_112407,Day2_Trial2,Chamber2,,,Day2_Acclimation,6,7.1,1.58,3.94,153.83,0,1166
221101-4,VF112322_112407,Day2_Trial2,Chamber2,,,Day2_CSTone,22,27.1,6.02,7.53,145.58,0,1638
221101-4,VF112322_112407,Day2_Trial2,Chamber2,,,Day2_Exploration,3,2.033,0.45,0.45,149.22,0,1246
,,,,,,,,,,,,,
221101-5,VF112322_113542,Day1_Trial3,Chamber1,,,Day2_Acclimation,8,4.833,1.07,2.69,305.3,0,1701
221101-5,VF112322_113542,Day1_Trial3,Chamber1,,,Day2_CSTone,57,53.067,11.79,14.74,176.04,0,2131
221101-5,VF112322_113542,Day1_Trial3,Chamber1,,,Day2_Exploration,10,13.1,2.91,2.91,167.27,0,2131
,,,,,,,,,,,,,
221101-6,VF112322_113542,Day1_Trial3,Chamber2,,,Day2_Acclimation,1,0.367,0.08,0.2,281.3,0,1728
221101-6,VF112322_113542,Day1_Trial3,Chamber2,,,Day2_CSTone,53,47.867,10.64,13.3,154.36,0,2047
221101-6,VF112322_113542,Day1_Trial3,Chamber2,,,Day2_Exploration,4,2.333,0.52,0.52,231.98,0,2047
,,,,,,,,,,,,,
221101-7,VF112322_114643,Day1_Trial4,Chamber1,,,Day2_Acclimation,9,8,1.78,4.44,237.61,0,2173
221101-7,VF112322_114643,Day1_Trial4,Chamber1,,,Day2_CSTone,54,66.567,14.79,18.49,93.98,0,1051
221101-7,VF112322_114643,Day1_Trial4,Chamber1,,,Day2_Exploration,15,13.167,2.93,2.93,63.64,0,788
,,,,,,,,,,,,,
221101-8,VF112322_114643,Day1_Trial4,Chamber2,,,Day2_Acclimation,34,37.733,8.39,20.96,134.58,0,925
221101-8,VF112322_114643,Day1_Trial4,Chamber2,,,Day2_CSTone,50,137.967,30.66,38.32,55.03,0,661
221101-8,VF112322_114643,Day1_Trial4,Chamber2,,,Day2_Exploration,15,31.233,6.94,6.94,85.07,0,605
,,,,,,,,,,,,,
221101-9,VF112322_115852,Day2_Trial5,Chamber1,,,Day2_Acclimation,17,15.567,3.46,8.65,252.1,0,1847
221101-9,VF112322_115852,Day2_Trial5,Chamber1,,,Day2_CSTone,66,147.133,32.7,40.87,82.6,0,3827
221101-9,VF112322_115852,Day2_Trial5,Chamber1,,,Day2_Exploration,14,38.067,8.46,8.46,101.96,0,1276
,,,,,,,,,,,,,
221101-10,VF112322_115852,Day2_Trial5,Chamber2,,,Day2_Acclimation,35,27.167,6.04,15.09,168.13,0,1474
221101-10,VF112322_115852,Day2_Trial5,Chamber2,,,Day2_CSTone,58,72.033,16.01,20.01,144.96,0,1432
221101-10,VF112322_115852,Day2_Trial5,Chamber2,,,Day2_Exploration,10,9.533,2.12,2.12,206.73,0,1432
,,,,,,,,,,,,,
221101-11,VF112322_121051,Day2_Trial6,Chamber1,,,Day2_Acclimation,3,2.5,0.56,1.39,289.61,0,1899
221101-11,VF112322_121051,Day2_Trial6,Chamber1,,,Day2_CSTone,52,76.667,17.04,21.3,161.96,0,1514
221101-11,VF112322_121051,Day2_Trial6,Chamber1,,,Day2_Exploration,11,13.367,2.97,2.97,215.9,0,1474
,,,,,,,,,,,,,
221101-12,VF112322_121051,Day2_Trial6,Chamber2,,,Day2_Acclimation,5,5.033,1.12,2.8,241.7,0,2757
221101-12,VF112322_121051,Day2_Trial6,Chamber2,,,Day2_CSTone,45,69.267,15.39,19.24,176.31,0,2038
